reading_id,machine_id,temperature,vibration,rpm,voltage,current,healthScore,alert_flag,recorded_at
RDG-1000,MCH-103,57.71391417245457,2.974061292609019,1140,412.64179750946954,15.666580004688985,95,NORMAL,2026-07-22T23:36:10.770Z
RDG-1001,MCH-103,45.32403253652767,1.1810764359094272,1014,419.06601838175243,11.392279293059982,95,NORMAL,2026-07-20T00:23:10.342Z
RDG-1002,MCH-102,42.973725889113446,1.904928768485652,1370,404.6556500006622,16.236933239124895,95,NORMAL,2026-07-21T21:21:08.587Z
RDG-1003,MCH-101,41.28827102758859,2.642113512232286,1552,412.517422262602,15.471632883310274,95,NORMAL,2026-07-23T17:12:20.180Z
RDG-1004,MCH-103,52.583405539036974,2.373610245352361,1601,421.1214087172022,16.444571990135415,95,NORMAL,2026-07-21T16:13:53.604Z
RDG-1005,MCH-104,43.43481293876067,2.6530808225373788,1595,424.30908434591794,12.837342290539377,95,NORMAL,2026-07-21T19:50:14.443Z
RDG-1006,MCH-103,41.439637778065965,1.2412763974861654,1063,415.40627677756,17.930359077958542,95,NORMAL,2026-07-23T03:26:42.024Z
RDG-1007,MCH-101,59.57318997328685,2.3660196098888573,1747,423.08526556302525,19.796020767808965,95,NORMAL,2026-07-20T11:38:23.712Z
RDG-1008,MCH-102,50.41149692813271,2.5236369184799803,1003,423.8110485098541,10.638826910455956,95,NORMAL,2026-07-22T16:29:22.099Z
RDG-1009,MCH-104,43.54796535860418,1.7973206674029347,1274,405.7441852158384,12.677828233338994,95,NORMAL,2026-07-23T06:06:00.626Z
RDG-1010,MCH-102,47.56848568570659,2.9675172025768175,1672,413.22038965279285,13.57960341654895,95,NORMAL,2026-07-21T16:03:01.383Z
RDG-1011,MCH-104,51.35239291570191,1.1695525623351557,1528,406.63339420710395,13.735227352223731,95,NORMAL,2026-07-20T13:31:04.723Z
RDG-1012,MCH-102,58.76456168503389,2.133965093398306,1431,419.9508410553375,14.698993379073704,95,NORMAL,2026-07-20T15:07:29.624Z
RDG-1013,MCH-104,48.47878964806404,2.8518385211410724,1119,427.0871820682725,10.612723598315698,95,NORMAL,2026-07-22T21:13:29.796Z
RDG-1014,MCH-104,44.51573358059056,2.9659450102388543,1598,405.50072169155584,13.210597949528085,95,NORMAL,2026-07-20T16:36:40.820Z
RDG-1015,MCH-102,73.18195969497432,5.505271216980762,1342,419.97123304219724,11.231689268767745,65,WARNING,2026-07-21T02:54:07.979Z
RDG-1016,MCH-104,72.95655415364389,5.786207436377111,1112,408.34536266323073,18.63324969179157,65,WARNING,2026-07-21T01:34:39.222Z
RDG-1017,MCH-103,74.07328369361974,5.448768715784032,1775,420.3374453232808,19.56031874363928,65,WARNING,2026-07-23T05:02:18.119Z
RDG-1018,MCH-104,75.17110676009764,4.999479955234535,1236,421.14067152953345,17.85538579713808,65,WARNING,2026-07-22T12:34:17.854Z
RDG-1019,MCH-102,74.16863677629699,5.005542332675387,1386,412.2550460825839,14.817976243993474,65,WARNING,2026-07-20T23:32:08.280Z
RDG-1020,MCH-101,80.23014642652389,7.3533459359579485,1576,420.730930182992,11.066699117427776,30,CRITICAL,2026-07-20T23:27:33.300Z
RDG-1021,MCH-104,92.86437968242188,8.632306757946461,1528,415.57983934472037,17.31785129459675,30,CRITICAL,2026-07-21T19:09:01.066Z
RDG-1022,MCH-103,85.08201972816371,9.559082282579874,1001,412.48000016882247,10.941469011674808,30,CRITICAL,2026-07-19T22:04:49.825Z
